Accession,FBgn
P13008,FBgn0261597
Q9VLR7,FBgn0031999
A0A0S0X2Z2,FBgn0267449
P18934,FBgn0013683
Q94516,FBgn0019644
Q9VU30,FBgn0036329
Q9VD61,FBgn0038919
Q7KUM9,FBgn0036499
Q9VPM3,FBgn0031240
Q9Y102,FBgn0261258
Q9W057,FBgn0035299
Q7K2E1,FBgn0033717
P11146,FBgn0001217
A8DYG8,FBgn0085489
M9PB90,FBgn0027568
Q9VNF5,FBgn0037356
Q9W2E8,FBgn0034645
Q9VIH9,FBgn0032899
Q95U34,FBgn0263199
Q7K035,FBgn0033243
Q8T975,FBgn0038656
A8JRC1,FBgn0039358
Q9VN86,FBgn0037298
P50882,FBgn0015756
Q9I7U2,FBgn0035321
Q7K0L5,FBgn0034225
Q9VZQ8,FBgn0035438
X2J9F3,FBgn0262647
Q29QL9,FBgn0265272
Q9V3W2,FBgn0001989
P21914,FBgn0014028
Q7JZE8,FBgn0033903
Q9W5W8,FBgn0031092
Q9U599,FBgn0029084
Q6IHT7,FBgn0261055
A1Z823,FBgn0033468
Q9VEQ6,FBgn0038458
Q24498,FBgn0011286
Q9VVK4,FBgn0036751
A0A0B4KEL0,FBgn0010548
Q8T4B6,FBgn0250821
A0A0B4LGQ1,FBgn0010213
Q8IPG0,FBgn0032010
Q9W457,FBgn0029823
Q9W172,FBgn0035005
Q9V3B1,FBgn0028903
M9PG62,FBgn0261396
A0A4W0WZA6,FBgn0061435
Q9XYZ9,FBgn0027590
Q9VAY3,FBgn0039561
Q9VRK6,FBgn0035598
Q9VG47,FBgn0038069
Q9VJR1,FBgn0013301
A0A0B4LEY6,FBgn0086904
P36241,FBgn0285950
Q9W412,FBgn0029859
Q9VKT1,FBgn0051872
Q9VJT4,FBgn0261529
Q9W1T3,FBgn0034835
Q7JVP4,FBgn0033155
A1ZAD2,FBgn0034105
M9MRT5,FBgn0032515
Q8T4I0,FBgn0036161
Q9W3H4,FBgn0030026
P55830,FBgn0017545
Q7KLX3,FBgn0021795
Q7KUT2,FBgn0036892
Q8IRZ1,FBgn0040028
P41093,FBgn0010409
Q9VGD7,FBgn0037986
A1Z8T9,FBgn0033687
Q4V671,FBgn0034505
Q9VQS0,FBgn0031545
Q9VAM8,FBgn0039651
P00408,FBgn0013675
Q9VAV5,FBgn0013813
Q8T3J9,FBgn0267689
Q8SYJ2,FBgn0052230
Q8MRN4,FBgn0051025
Q9U5L1,FBgn0010391
Q03334,FBgn0010265
Q9VVW1,FBgn0015586
